filename,address,ip,packet_loss,rtt_min,rtt_avg,rtt_max,rtt_mdev
2024-04-28_17.txt,www.fmprc.gov.cn.wswebpic.com,138.113.149.124,0,5.452,6.031,8.877,0.460
2024-04-28_17.txt,www.gov.za,164.151.129.20,0,166.612,166.863,169.056,0.241
2024-04-28_17.txt,www.gov.scot,143.204.194.99,0,7.072,7.262,7.912,0.136
2024-04-28_17.txt,www5.usp.br,200.144.248.54,0,225.841,226.268,227.478,0.253
2024-04-28_23.txt,www.fmprc.gov.cn.wswebpic.com,138.113.149.124,0,5.397,6.165,17.773,1.186
2024-04-28_23.txt,www.gov.za,164.151.129.20,0,166.569,166.878,168.464,0.275
2024-04-28_23.txt,www.gov.scot,143.204.194.99,0,7.051,7.273,8.096,0.183
2024-04-28_23.txt,www5.usp.br,200.144.248.54,0,225.833,226.248,227.884,0.282
2024-04-29_02.txt,www.fmprc.gov.cn.wswebpic.com,138.113.149.124,0,5.415,6.119,10.453,0.750
2024-04-29_02.txt,www.gov.za,164.151.129.20,16667,166.632,166.891,167.730,0.199
2024-04-29_02.txt,www.gov.scot,143.204.194.99,0,7.081,7.274,8.148,0.168
2024-04-29_02.txt,www5.usp.br,200.144.248.54,0,225.837,226.244,230.195,0.547
2024-04-29_09.txt,www.fmprc.gov.cn.wswebpic.com,138.113.149.124,0,5.396,6.223,22.586,1.613
2024-04-29_09.txt,www.gov.za,164.151.129.20,8333,166.692,166.963,168.396,0.223
2024-04-29_09.txt,www.gov.scot,143.204.194.39,0,7.067,7.380,16.345,0.842
2024-04-29_09.txt,www5.usp.br,200.144.248.54,0,225.836,226.134,226.878,0.184
2024-04-29_17.txt,www.fmprc.gov.cn.wswebpic.com,138.113.149.124,0,5.392,5.920,7.089,0.280
2024-04-29_17.txt,www.gov.za,164.151.129.20,0,167.424,167.675,168.444,0.174
2024-04-29_17.txt,www.gov.scot,143.204.194.2,0,7.025,7.244,8.085,0.160
2024-04-29_17.txt,www5.usp.br,200.144.248.54,0,225.843,226.264,228.663,0.371
2024-04-29_23.txt,www.fmprc.gov.cn.wswebpic.com,138.113.149.124,0,5.376,6.058,9.897,0.632
2024-04-29_23.txt,www.gov.za,164.151.129.20,0,167.393,167.651,169.203,0.227
2024-04-29_23.txt,www.gov.scot,143.204.194.39,0,7.064,7.360,11.162,0.416
2024-04-29_23.txt,www5.usp.br,200.144.248.54,0,226.012,226.336,229.142,0.325
2024-04-30_02.txt,www.fmprc.gov.cn.wswebpic.com,138.113.149.124,0,5.450,6.060,10.599,0.678
2024-04-30_02.txt,www.gov.za,164.151.129.20,33333,167.412,167.654,168.878,0.199
2024-04-30_02.txt,www.gov.scot,143.204.194.99,0,7.063,7.262,8.063,0.160
2024-04-30_02.txt,www5.usp.br,200.144.248.54,0,225.949,226.279,228.036,0.242
2024-04-30_09.txt,www.fmprc.gov.cn.wswebpic.com,138.113.149.124,0,5.410,6.204,17.757,1.486
2024-04-30_09.txt,www.gov.za,164.151.129.20,8333,167.540,167.790,168.950,0.225
2024-04-30_09.txt,www.gov.scot,143.204.194.99,0,7.086,7.295,8.379,0.205
2024-04-30_09.txt,www5.usp.br,200.144.248.54,0,225.996,226.326,227.220,0.241
2024-04-30_17.txt,www.fmprc.gov.cn.wswebpic.com,138.113.149.124,0,5.388,6.090,12.957,0.905
2024-04-30_17.txt,www.gov.za,164.151.129.20,0,167.490,167.807,175.931,0.768
2024-04-30_17.txt,www.gov.scot,143.204.194.2,0,7.040,7.280,8.458,0.234
2024-04-30_17.txt,www5.usp.br,200.144.248.54,0,226.045,226.478,229.591,0.544
2024-04-30_23.txt,www.fmprc.gov.cn.wswebpic.com,138.113.149.124,0,5.365,6.070,15.966,1.079
2024-04-30_23.txt,www.gov.za,164.151.129.20,0,167.466,167.753,169.252,0.246
2024-04-30_23.txt,www.gov.scot,143.204.194.2,0,7.038,7.270,9.491,0.265
2024-04-30_23.txt,www5.usp.br,200.144.248.54,0,226.014,226.404,229.145,0.409
2024-05-01_02.txt,www.fmprc.gov.cn.wswebpic.com,138.113.149.124,0,5.378,6.130,11.005,0.904
2024-05-01_02.txt,www.gov.za,164.151.129.20,33333,167.467,167.684,169.357,0.228
2024-05-01_02.txt,www.gov.scot,143.204.194.99,0,7.064,7.247,7.940,0.127
2024-05-01_02.txt,www5.usp.br,200.144.248.54,0,225.845,226.197,227.756,0.295
2024-05-01_09.txt,www.fmprc.gov.cn.wswebpic.com,138.113.149.124,0,5.451,6.118,14.866,1.021
2024-05-01_09.txt,www.gov.za,164.151.129.20,0,167.422,167.747,168.403,0.213
2024-05-01_09.txt,www.gov.scot,143.204.194.66,0,7.042,7.299,8.157,0.171
2024-05-01_09.txt,www5.usp.br,200.144.248.54,0,225.838,226.179,227.214,0.193
2024-05-01_17.txt,www.fmprc.gov.cn.wswebpic.com,138.113.149.124,0,5.401,6.078,16.202,1.048
2024-05-01_17.txt,www.gov.za,164.151.129.20,0,167.413,167.765,170.028,0.319
2024-05-01_17.txt,www.gov.scot,143.204.194.39,0,7.088,7.305,8.171,0.196
2024-05-01_17.txt,www5.usp.br,200.144.248.54,0,225.849,226.217,227.886,0.265
2024-05-01_23.txt,www.fmprc.gov.cn.wswebpic.com,138.113.149.124,0,5.347,6.077,15.671,1.136
2024-05-01_23.txt,www.gov.za,164.151.129.20,0,167.464,167.694,168.325,0.161
2024-05-01_23.txt,www.gov.scot,143.204.194.99,0,7.051,7.313,9.066,0.275
2024-05-01_23.txt,www5.usp.br,200.144.248.54,0,225.896,226.320,230.052,0.449
